Date,TweetID,User,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
2025-01-12 14:12:35+00:00,1878444970111041774,Xx3Nll,Kuwait,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 9 https://t.co/8C9mD8fHQx",0,0,0,0
2025-01-12 14:12:30+00:00,1878444948523024803,Xx3Nll,Kuwait,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 8 https://t.co/8C9mD8fHQx",0,0,0,0
2025-01-12 14:12:23+00:00,1878444922350485762,Xx3Nll,Kuwait,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 7 https://t.co/8C9mD8fHQx",0,0,0,0
2025-01-12 14:12:19+00:00,1878444902243065896,Xx3Nll,Kuwait,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 6 https://t.co/8C9mD8fHQx",0,0,0,0
2025-01-12 14:12:14+00:00,1878444882055790897,Xx3Nll,Kuwait,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 5 https://t.co/8C9mD8fHQx",0,0,0,0
2025-01-12 14:12:09+00:00,1878444862762054042,Xx3Nll,Kuwait,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 4 https://t.co/8C9mD8fHQx",0,0,0,0
2025-01-12 14:12:04+00:00,1878444841710870631,Xx3Nll,Kuwait,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 3 https://t.co/8C9mD8fHQx",0,0,0,0
2025-01-12 14:12:00+00:00,1878444822396121375,Xx3Nll,Kuwait,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 2 https://t.co/8C9mD8fHQx",0,0,0,0
2025-01-12 14:11:54+00:00,1878444798484378091,Xx3Nll,Kuwait,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 1 https://t.co/8C9mD8fHQx",0,0,0,0
2025-01-12 14:11:48+00:00,1878444775067549959,Xx3Nll,Kuwait,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع https://t.co/8C9mD8fHQx",0,0,0,0
2025-01-12 14:11:48+00:00,1878444772852920823,qyd17509,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires  #SCPSLB #PSVAZ  #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
،٤#سالم_بن_جديع https://t.co/ZzB3wgoKwx",0,0,0,0
2025-01-12 14:11:38+00:00,1878444732524720517,TheDimejiLateef,Nigeria,RT @Gabbycosta06: The way i have  meticulously avoided Lisabi on Twitter  ehn...@TheDimejiLateef  notifications wan wound me but mio panic.…,0,2,0,0
2025-01-12 14:11:35+00:00,1878444719807565945,qyd17509,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires  #SCPSLB #PSVAZ  #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
، #سالم_بن_جديع https://t.co/ZzB3wgoKwx",0,0,0,0
2025-01-12 14:11:27+00:00,1878444686215401939,qyd17509,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires  #SCPSLB #PSVAZ  #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
 ٨#سالم_بن_جديع https://t.co/ZzB3wgoKwx",0,0,0,0
2025-01-12 14:11:22+00:00,1878444662840578350,tahaeez,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 10 https://t.co/JZu6FXj7LB",0,0,0,0
2025-01-12 14:11:16+00:00,1878444639688008076,tahaeez,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 9 https://t.co/JZu6FXj7LB",0,0,0,0
2025-01-12 14:11:08+00:00,1878444605001158971,qyd17509,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires  #SCPSLB #PSVAZ  #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع ٠ https://t.co/ZzB3wgoKwx",0,0,0,0
2025-01-12 14:11:07+00:00,1878444602882949372,tahaeez,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 8 https://t.co/JZu6FXj7LB",0,0,0,0
2025-01-12 14:10:59+00:00,1878444568871395581,qyd17509,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires  #SCPSLB #PSVAZ  #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
٢٢#سالم_بن_جديع https://t.co/ZzB3wgoKwx",0,0,0,0
2025-01-12 14:10:57+00:00,1878444559178350777,tahaeez,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 7 https://t.co/JZu6FXj7LB",0,0,0,0
2025-01-12 14:10:51+00:00,1878444532779409430,tahaeez,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires #HarshadChopda #SCPSLB #PSVAZ #FELIP #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
#سالم_بن_جديع 6 https://t.co/JZu6FXj7LB",0,0,0,0
2025-01-12 14:10:50+00:00,1878444528698278273,qyd17509,,"#LosAngelesFire #EmiratesFACup #LijoNo #حرائق_لوس_أنجلوس #حرائق_كالفورنيا #LisabiALegendIsBorn #StarAcademy #StarAcademy #LosAngelesFires  #SCPSLB #PSVAZ  #fundamentalpapereducation #FELIPFiresUpDUNK #Michoacan #MarineEnFinale 
 ٦#سالم_بن_جديع https://t.co/ZzB3wgoKwx",0,0,0,0
